transmission-qt 2.94-1
ts-qtplatform 1.8.1-0
tslib 1.19-1
tsscreenlock 2.2-0
ttf-bitstream-vera 1.10-12
ttf-contemporary 2.0-0
ttf-dejavu 2.37-2
ttf-droid 20121017-6
ttf-fira-code 1.206-1
ttf-hack 3.003-1
ttf-liberation 2.00.5-1
ttf-meslo 1.2.1-1
ttf-mplus TESTFLIGHT_063-1
ttf-ms-fonts 2.0-10
ttf-roboto 2.138-1
ttf-symbola 12.00-1
twolame 0.3.13-8
tzdata 2019a-1
udisks2 2.8.2-1
unrar 1:5.7.5-1
unzip 6.0-13
upower 0.99.10-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
user-manager 5.15.4-1
util-linux 2.33.2-1
v4l-utils 1.16.5-1
vi 1:070224-3
viber 10.3.0.37-1
vid.stab 1.1-2
virtualbox 6.0.6-2
virtualbox-guest-iso 6.0.6-1
virtualbox-host-modules-arch 6.0.6-4
visual-studio-code-bin 1.33.1-1
vlc 3.0.6-11
volume_key 0.3.11-2
vte-common 0.56.2-1
vte3 0.56.2-1
vulkan-icd-loader 1.1.107-1
wavpack 5.1.0-2
wayland 1.17.0-1
wayland-protocols 1.17-1
webkit2gtk 2.24.1-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-1
which 2.21-3
windscribe-cli 1.3_19-1
wlc 0.0.11-1
wmctrl 1.07-5
woff2 1.0.2-1
wpa_supplicant 2:2.6-2
x264 2:157.r72db4377-1
x265 3.0-1
xautomation 1.09-3
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xclip 0.13-2
xdg-desktop-portal-kde 5.15.4-1
xdg-utils 1.1.3-3
xdotool 3.20160805.1-2
xf86-input-libinput 0.28.2-1
xf86-video-intel 1:2.99.917+863+g6afed33b-1
xfsprogs 4.20.0-2
xkeyboard-config 2.26-2
xmlsec 1.2.28-1
xmlto 0.0.28-3
